"resultid","resultmonth","winnerid","loserid","winnerset1","winnerset2","winnerset3","winnerset4","winnerset5","loserset1","loserset2","loserset3","loserset4","loserset5"
1372,"2019-01",1969408,191924,6,6,0,0,0,1,4,0,0,0
1374,"2019-08",196974,3570,6,6,6,6,0,3,4,7,3,0
1375,"2019-03",76531,5218,7,6,0,0,0,5,4,0,0,0
1376,"2019-07",2095984,1948598,6,4,7,0,0,3,6,5,0,0
1377,"2019-07",1880727,1394174,6,6,0,0,0,4,4,0,0,0
1378,"2019-11",51289,3766,7,6,0,0,0,5,2,0,0,0
1379,"2019-06",3679,10063,6,6,0,0,0,3,1,0,0,0
1380,"2019-08",52003,1983491,6,6,0,0,0,3,2,0,0,0
1383,"2019-07",3718,3839,6,7,0,0,0,3,6,0,0,0
1385,"2019-08",217512,3700,6,6,7,0,0,4,7,6,0,0
1386,"2019-11",2044152,167844,4,6,6,0,0,6,3,4,0,0
1387,"2019-10",4072,51259,3,6,6,0,0,6,3,4,0,0
1388,"2019-08",4487,3533,6,6,0,0,0,4,4,0,0,0
1390,"2019-10",56801,54458,6,7,0,0,0,2,6,0,0,0
1391,"2019-02",3878,77968,6,6,0,0,0,4,4,0,0,0
1392,"2019-09",10789,11640,6,3,6,0,0,2,6,2,0,0
1394,"2019-03",53840,3871,6,6,0,0,0,4,4,0,0,0
1398,"2019-09",11076,10323,6,6,6,0,0,7,4,4,0,0
1399,"2019-01",49953,52341,6,6,7,7,0,7,4,5,6,0
1400,"2019-01",11370,10306,7,7,0,0,0,6,5,0,0,0
1401,"2019-08",3959,4031,7,1,6,0,0,6,6,1,0,0
1402,"2019-08",259658,10290,7,2,7,0,0,5,6,6,0,0
1403,"2019-03",10378,10703,6,6,0,0,0,1,3,0,0,0
1404,"2019-03",77968,3623,6,6,0,0,0,3,1,0,0,0
1405,"2019-10",83218,4686,6,6,0,0,0,4,4,0,0,0
1406,"2019-09",3701,206806,6,4,6,0,0,0,6,1,0,0
1407,"2019-01",268262,10323,7,7,0,0,0,5,5,0,0,0
1408,"2019-05",4122,55425,6,6,0,0,0,1,0,0,0,0
1410,"2019-06",1399808,2087254,6,5,7,0,0,4,7,6,0,0
1411,"2019-08",70649,10473,6,6,6,0,0,7,3,4,0,0
1412,"2019-02",1517181,3713,6,7,0,0,0,2,6,0,0,0
1415,"2019-03",3456,4686,7,6,0,0,0,5,3,0,0,0
1418,"2019-08",10244,10248,6,6,0,0,0,4,4,0,0,0
1419,"2019-10",268261,157972,5,6,6,0,0,7,4,2,0,0
1420,"2019-08",53391,10280,6,6,0,0,0,3,3,0,0,0
1422,"2019-08",10324,28145,7,6,0,0,0,6,3,0,0,0
1423,"2019-09",11599,146056,6,6,0,0,0,2,0,0,0,0
1425,"2019-08",3488,2579584,3,6,6,7,6,6,7,4,6,2
1427,"2019-10",95506,4073,1,6,6,0,0,6,2,3,0,0
1428,"2019-01",60157,3993,6,6,7,7,0,3,7,6,6,0
1430,"2019-11",4515,3456,7,7,0,0,0,5,5,0,0,0
1431,"2019-07",70622,3856,6,7,0,0,0,4,5,0,0,0
1433,"2019-11",77442,55856,6,2,6,0,0,0,6,3,0,0
1434,"2019-11",7479,49954,6,2,6,0,0,4,6,4,0,0
1435,"2019-03",92088,51547,6,7,0,0,0,4,6,0,0,0
1437,"2019-08",1973165,77017,7,7,0,0,0,6,6,0,0,0
1439,"2019-10",4464,3761,6,6,6,0,0,7,3,4,0,0
1440,"2019-02",10839,10328,4,6,6,0,0,6,1,4,0,0
1441,"2019-10",54182,2516689,6,7,6,0,0,7,6,3,0,0
1443,"2019-03",240231,76531,7,6,0,0,0,6,4,0,0,0
1445,"2019-08",10759,10536,6,6,0,0,0,2,4,0,0,0
1449,"2019-02",3619,3605,6,6,0,0,0,3,4,0,0,0
1450,"2019-11",2600323,55939,6,6,0,0,0,0,3,0,0,0
1451,"2019-02",77442,98984,6,6,0,0,0,2,4,0,0,0
1452,"2019-10",1008596,960543,6,6,0,0,0,1,3,0,0,0
1453,"2019-02",2118860,10283,6,6,0,0,0,3,3,0,0,0
1454,"2019-09",1906139,42919,7,1,6,0,0,6,6,2,0,0
1455,"2019-10",4464,1978582,6,6,0,0,0,3,4,0,0,0
1457,"2019-03",10242,10340,6,7,0,0,0,4,6,0,0,0
1458,"2019-09",3654,3927,5,6,6,0,0,7,4,2,0,0
1459,"2019-11",214689,1609206,6,6,0,0,0,3,2,0,0,0
1460,"2019-06",207050,3699,6,6,0,0,0,2,2,0,0,0
1461,"2019-10",4633,28080,6,6,0,0,0,3,4,0,0,0
1462,"2019-02",11342,10351,6,6,0,0,0,4,0,0,0,0
1464,"2019-10",405461,91959,6,6,0,0,0,2,4,0,0,0
1465,"2019-12",1729135,2103742,5,6,6,0,0,7,3,4,0,0
1466,"2019-11",57433,65230,3,6,7,0,0,6,3,6,0,0
1467,"2019-07",1945656,4690,6,7,6,0,0,7,6,4,0,0
1469,"2019-09",146056,1739159,7,6,0,0,0,6,2,0,0,0
1470,"2019-08",3878,206796,3,6,6,3,6,6,1,4,6,3
1471,"2019-09",200425,1398935,6,6,6,0,0,2,7,3,0,0
1472,"2019-01",45027,173356,6,6,0,0,0,2,3,0,0,0
1473,"2019-09",364584,10244,2,6,6,0,0,6,4,4,0,0
1474,"2019-08",2114659,252064,6,6,0,0,0,1,3,0,0,0
1475,"2019-09",11342,24753,6,6,6,0,0,7,4,4,0,0
1476,"2019-07",94283,50772,6,7,0,0,0,3,5,0,0,0
1477,"2019-10",4622,51794,6,6,0,0,0,3,3,0,0,0
1478,"2019-10",219786,268261,3,6,6,0,0,6,1,1,0,0
1479,"2019-10",4464,3994,4,6,6,0,0,6,4,3,0,0
1480,"2019-08",204410,67623,7,6,0,0,0,5,4,0,0,0
1481,"2019-11",10850,41562,6,6,0,0,0,1,2,0,0,0
1483,"2019-06",4391,919337,6,6,0,0,0,4,3,0,0,0
1486,"2019-07",4299,83953,6,4,6,0,0,3,6,2,0,0
1487,"2019-09",58272,11042,7,6,0,0,0,6,4,0,0,0
1489,"2019-10",1398938,90634,6,6,0,0,0,4,2,0,0,0
1491,"2019-08",205461,4445,6,6,0,0,0,3,3,0,0,0
1492,"2019-02",83218,3458,6,7,0,0,0,4,6,0,0,0
1493,"2019-09",203816,224142,6,6,0,0,0,3,3,0,0,0
1494,"2019-09",51487,175894,6,6,0,0,0,3,2,0,0,0
1495,"2019-05",56823,207050,7,6,0,0,0,6,3,0,0,0
1497,"2019-09",167901,11286,7,6,0,0,0,6,1,0,0,0
1498,"2019-03",4031,1607952,6,6,0,0,0,1,1,0,0,0
1499,"2019-10",76531,1554636,6,6,0,0,0,2,1,0,0,0
1500,"2019-10",51288,200392,7,7,0,0,0,5,6,0,0,0
1501,"2019-08",70649,161912,6,6,0,0,0,2,2,0,0,0
1502,"2019-10",11063,10340,6,7,0,0,0,2,5,0,0,0
1503,"2019-10",52346,10246,6,6,0,0,0,4,1,0,0,0
1504,"2019-09",4690,3701,6,6,0,0,0,3,1,0,0,0
1505,"2019-10",28298,273950,6,6,6,0,0,7,3,4,0,0
1506,"2019-10",200425,52886,6,6,0,0,0,4,3,0,0,0
1507,"2019-07",3724,3712,6,7,0,0,0,4,6,0,0,0
1509,"2019-01",378488,11247,3,6,6,0,0,6,0,4,0,0
1510,"2019-10",3570,3878,6,4,7,0,0,4,6,6,0,0
1511,"2019-08",28990,41562,6,3,6,0,0,1,6,1,0,0
1512,"2019-09",55849,2590128,6,7,0,0,0,3,5,0,0,0
1513,"2019-09",10352,10307,6,6,0,0,0,0,1,0,0,0
1514,"2019-09",167938,191910,6,6,6,0,0,7,1,4,0,0
1515,"2019-09",217512,4929,6,6,0,0,0,1,1,0,0,0
1516,"2019-11",28527,53028,3,6,6,0,0,6,3,2,0,0
1517,"2019-09",2096652,170791,6,5,6,0,0,4,7,2,0,0
1518,"2019-10",161912,10839,6,6,0,0,0,2,3,0,0,0
1519,"2019-03",3456,200399,6,6,0,0,0,3,4,0,0,0
1521,"2019-10",4515,54351,2,7,7,0,0,6,6,5,0,0
1522,"2019-07",4690,3617,7,6,0,0,0,5,4,0,0,0
1523,"2019-09",1570645,806774,4,6,6,0,0,6,2,2,0,0
1524,"2019-10",2594847,67499,7,7,0,0,0,6,6,0,0,0
1526,"2019-07",2087254,3718,4,6,6,0,0,6,4,2,0,0
1527,"2019-07",256513,84505,7,6,0,0,0,6,4,0,0,0
1529,"2019-10",100217,10751,6,6,0,0,0,4,4,0,0,0
1530,"2019-02",4445,49875,6,6,0,0,0,3,4,0,0,0
1531,"2019-02",3700,3724,7,6,0,0,0,6,4,0,0,0
1533,"2019-08",1398938,60156,6,6,0,0,0,1,2,0,0,0
1534,"2019-09",55419,2488176,6,6,6,0,0,7,4,4,0,0
1536,"2019-11",52294,53374,6,7,0,0,0,4,6,0,0,0
1537,"2019-08",82405,52003,6,2,6,0,0,4,6,4,0,0
1538,"2019-04",10793,1685942,7,6,0,0,0,5,4,0,0,0
1539,"2019-11",27182,1948598,6,6,0,0,0,3,2,0,0,0
1540,"2019-03",11042,70649,2,6,7,0,0,6,3,5,0,0
1542,"2019-03",2118860,85223,2,6,6,0,0,6,3,2,0,0
1543,"2019-10",3884,67499,6,6,0,0,0,4,4,0,0,0
1544,"2019-09",83218,2516571,6,6,0,0,0,4,3,0,0,0
1546,"2019-09",175945,252064,7,7,0,0,0,5,6,0,0,0
1547,"2019-08",57529,94598,6,7,0,0,0,3,6,0,0,0
1549,"2019-01",28145,11134,7,1,7,0,0,6,6,5,0,0
1550,"2019-07",4073,2590128,6,6,0,0,0,3,1,0,0,0
1553,"2019-07",10306,10751,6,6,0,0,0,0,3,0,0,0
1554,"2019-11",4401,54846,1,7,6,0,0,6,6,3,0,0
1556,"2019-03",3700,206796,7,7,0,0,0,6,6,0,0,0
1557,"2019-07",2095984,3863,6,6,6,0,0,7,2,4,0,0
1558,"2019-10",198546,4690,2,7,7,0,0,6,5,6,0,0
1559,"2019-01",10286,206336,6,6,0,0,0,4,4,0,0,0
1560,"2019-08",51322,3810,1,6,6,0,0,6,4,3,0,0
1561,"2019-08",4021,3718,7,6,0,0,0,6,3,0,0,0
1563,"2019-07",96338,2566922,6,7,0,0,0,4,5,0,0,0
1564,"2019-10",1517181,2085751,2,6,6,0,0,6,4,0,0,0
1565,"2019-09",3718,1948598,6,7,0,0,0,3,6,0,0,0
1566,"2019-08",28145,11035,6,6,0,0,0,4,1,0,0,0
1567,"2019-11",125087,52797,7,6,0,0,0,6,0,0,0,0
1568,"2019-03",10473,11349,7,6,0,0,0,6,3,0,0,0
1569,"2019-11",2600323,3644,1,6,6,0,0,6,3,4,0,0
1570,"2019-08",3589,3671,7,6,0,0,0,6,4,0,0,0
1571,"2019-10",3503,95375,6,3,6,0,0,3,6,3,0,0
1573,"2019-05",3503,2526148,7,6,0,0,0,5,4,0,0,0
1574,"2019-03",3746,142094,6,7,7,0,0,7,5,6,0,0
1576,"2019-10",1740216,249413,6,6,0,0,0,1,3,0,0,0
1577,"2019-02",3993,53374,4,6,6,0,0,6,3,4,0,0
1578,"2019-02",4031,224678,3,7,7,0,0,6,6,5,0,0
1579,"2019-11",57251,54196,7,6,0,0,0,6,2,0,0,0
1581,"2019-11",49954,373773,6,6,0,0,0,1,2,0,0,0
1585,"2019-03",11035,219786,6,7,0,0,0,3,5,0,0,0
1586,"2019-03",11349,34159,6,6,0,0,0,3,2,0,0,0
1587,"2019-08",5218,1517181,6,6,7,0,0,3,7,5,0,0
1588,"2019-08",142094,52294,6,6,6,0,0,7,2,4,0,0
1589,"2019-07",260593,196974,6,3,6,0,0,4,6,4,0,0
1590,"2019-02",28399,10854,6,6,0,0,0,4,2,0,0,0
1592,"2019-10",3967,54415,7,6,0,0,0,6,3,0,0,0
1593,"2019-09",4464,4128,6,6,0,0,0,4,3,0,0,0
1594,"2019-11",247320,4401,6,6,0,0,0,3,4,0,0,0
1595,"2019-11",10273,40341,6,6,0,0,0,4,1,0,0,0
1597,"2019-09",3828,1517181,6,6,0,0,0,4,3,0,0,0
1601,"2019-09",10473,10885,4,6,6,0,0,6,4,1,0,0
1602,"2019-10",4190,230425,7,6,0,0,0,5,4,0,0,0
1603,"2019-10",95506,3482,7,7,0,0,0,5,6,0,0,0
1604,"2019-09",49953,73237,6,6,0,0,0,4,3,0,0,0
1606,"2019-01",3456,60157,6,7,6,0,0,2,5,2,0,0
1607,"2019-01",3686,3503,6,7,0,0,0,4,5,0,0,0
1611,"2019-08",4560,3962,7,7,0,0,0,6,5,0,0,0
1612,"2019-11",96338,4487,4,6,6,0,0,6,4,3,0,0
1613,"2019-01",3695,52337,7,7,0,0,0,6,6,0,0,0
1614,"2019-10",253923,3960,6,7,0,0,0,4,6,0,0,0
1617,"2019-08",1983491,1333268,3,6,6,0,0,6,4,4,0,0
1618,"2019-01",4193,60157,7,6,6,0,0,6,7,4,0,0
1619,"2019-11",1394186,75587,6,6,0,0,0,4,0,0,0,0
1620,"2019-09",45027,10807,6,2,7,0,0,1,6,5,0,0
1621,"2019-02",11348,191038,2,7,7,0,0,6,5,5,0,0
1622,"2019-09",3882,207438,4,7,6,0,0,6,6,3,0,0
1623,"2019-10",10286,1736726,6,6,0,0,0,3,0,0,0,0
1624,"2019-07",3828,2616345,6,7,0,0,0,2,5,0,0,0
1625,"2019-10",4633,28298,7,7,0,0,0,6,6,0,0,0
1627,"2019-09",50113,10244,7,2,6,0,0,6,6,0,0,0
1628,"2019-02",206781,34037,2,6,6,0,0,6,3,3,0,0
1630,"2019-10",4515,3468,6,6,0,0,0,4,1,0,0,0
1631,"2019-07",2544742,2516692,6,6,0,0,0,2,3,0,0,0
1632,"2019-11",1394186,70784,6,7,0,0,0,4,5,0,0,0
1635,"2019-08",10378,58272,6,6,7,0,0,7,4,6,0,0
1637,"2019-02",11767,52346,6,6,0,0,0,4,0,0,0,0
1638,"2019-04",10344,10347,6,6,0,0,0,2,4,0,0,0
1640,"2019-09",4073,51259,7,6,0,0,0,6,3,0,0,0
1643,"2019-08",3503,4487,6,6,0,0,0,3,4,0,0,0
1644,"2019-08",4515,83218,6,3,6,0,0,4,6,3,0,0
1646,"2019-03",206796,3478,1,7,6,0,0,6,5,3,0,0
1647,"2019-04",11356,10281,7,6,0,0,0,6,1,0,0,0
1648,"2019-09",4686,3608,7,6,0,0,0,5,4,0,0,0
1650,"2019-09",93398,4401,6,6,0,0,0,2,2,0,0,0
1651,"2019-09",53391,11225,6,6,0,0,0,4,2,0,0,0
1652,"2019-08",84513,11361,6,4,6,0,0,4,6,2,0,0
1653,"2019-09",4401,71162,7,6,0,0,0,6,0,0,0,0
1656,"2019-10",3478,95506,6,6,0,0,0,4,2,0,0,0
1657,"2019-07",11356,114452,6,7,6,0,0,7,5,3,0,0
1658,"2019-07",3558,1948598,6,6,0,0,0,4,0,0,0,0
1659,"2019-06",2086499,54638,6,5,7,0,0,4,7,6,0,0
1660,"2019-08",58272,146056,6,6,0,0,0,4,4,0,0,0
1662,"2019-08",10281,28487,4,6,7,0,0,6,2,6,0,0
1663,"2019-08",176778,45588,7,6,0,0,0,5,4,0,0,0
1664,"2019-12",10811,11461,6,7,0,0,0,1,5,0,0,0
1665,"2019-01",71334,28990,6,6,6,0,0,7,0,1,0,0
1667,"2019-03",3700,206806,7,7,0,0,0,5,6,0,0,0
1671,"2019-10",2536184,109210,6,6,0,0,0,4,2,0,0,0
1672,"2019-07",100217,28290,6,6,0,0,0,1,2,0,0,0
1673,"2019-09",53840,3469,6,7,0,0,0,2,5,0,0,0
1674,"2019-09",4802,3766,6,6,6,0,0,7,3,2,0,0
1675,"2019-10",191910,24753,6,7,0,0,0,2,6,0,0,0
1676,"2019-03",3961,2526148,6,6,0,0,0,4,2,0,0,0
1677,"2019-09",1742954,11277,6,7,0,0,0,1,5,0,0,0
1678,"2019-10",3878,52341,6,6,0,0,0,4,4,0,0,0
1679,"2019-08",1194009,4053,6,6,0,0,0,1,2,0,0,0
1680,"2019-08",200399,3469,5,6,7,0,0,7,4,6,0,0
1681,"2019-08",10383,10248,6,7,0,0,0,4,6,0,0,0
1684,"2019-01",67623,196974,6,7,0,0,0,4,6,0,0,0
1685,"2019-08",50083,10352,6,6,0,0,0,3,2,0,0,0
1686,"2019-11",1726478,2043795,6,6,0,0,0,2,2,0,0,0
1687,"2019-03",4072,95161,6,6,6,0,0,7,1,4,0,0
1690,"2019-01",11134,11035,6,6,0,0,0,2,2,0,0,0
1691,"2019-10",53840,3495,6,6,0,0,0,2,0,0,0,0
1692,"2019-10",206796,4151,6,7,0,0,0,4,5,0,0,0
1693,"2019-10",1739159,74148,6,6,0,0,0,3,1,0,0,0
1694,"2019-11",2170539,84486,6,7,0,0,0,3,6,0,0,0
1695,"2019-02",3993,3867,4,6,6,0,0,6,1,3,0,0
1696,"2019-08",259658,50083,3,6,6,0,0,6,4,2,0,0
1698,"2019-01",10378,75034,6,6,0,0,0,0,3,0,0,0
1701,"2019-09",70649,28990,7,6,0,0,0,5,1,0,0,0
1702,"2019-05",4310,1973204,4,7,6,0,0,6,6,4,0,0
1703,"2019-02",27182,1459374,6,7,0,0,0,3,6,0,0,0
1705,"2019-03",4686,53374,6,6,0,0,0,3,2,0,0,0
1707,"2019-07",51288,308451,7,4,7,0,0,6,6,6,0,0
1709,"2019-09",56823,4929,6,7,0,0,0,3,6,0,0,0
1710,"2019-09",11767,93201,6,6,0,0,0,4,3,0,0,0
1711,"2019-03",10338,1607950,3,6,7,0,0,6,1,5,0,0
1712,"2019-01",4031,4072,7,6,7,0,0,5,1,6,0,0
1713,"2019-01",2611704,1984892,3,7,6,0,0,6,6,0,0,0
1714,"2019-09",4075,49924,6,7,0,0,0,4,5,0,0,0
1717,"2019-02",24753,2096652,3,7,7,0,0,6,6,5,0,0
1720,"2019-08",91084,51322,1,6,6,0,0,6,2,2,0,0
1722,"2019-10",4686,95161,6,7,0,0,0,3,5,0,0,0
1727,"2019-11",3654,141998,6,6,0,0,0,4,1,0,0,0
1728,"2019-05",51259,864189,6,7,0,0,0,2,5,0,0,0
1729,"2019-07",1978582,2103686,6,6,6,0,0,7,1,0,0,0
1730,"2019-09",95375,72546,6,6,0,0,0,2,3,0,0,0
1732,"2019-03",10248,268261,6,3,6,0,0,4,6,4,0,0
1733,"2019-08",84513,10283,6,6,0,0,0,3,4,0,0,0
1734,"2019-10",11541,10280,7,6,0,0,0,6,2,0,0,0
1736,"2019-11",247320,142094,2,4,4,4,0,4,1,2,2,0
1737,"2019-09",54847,751615,4,6,7,0,0,6,2,6,0,0
1738,"2019-02",53374,3659,6,6,0,0,0,4,3,0,0,0
1739,"2019-07",4733,51790,6,6,0,0,0,4,2,0,0,0
1741,"2019-09",77968,2594847,6,6,0,0,0,2,1,0,0,0
1742,"2019-10",1398938,77973,6,6,0,0,0,2,2,0,0,0
1743,"2019-02",2516689,3907,6,6,0,0,0,2,4,0,0,0
1744,"2019-08",2566922,4654,6,6,0,0,0,0,3,0,0,0
1745,"2019-08",3901,3855,6,7,0,0,0,4,5,0,0,0
1747,"2019-02",10793,10785,6,6,0,0,0,1,1,0,0,0
1748,"2019-10",52833,45581,6,6,0,0,0,2,4,0,0,0
1753,"2019-07",28081,5218,7,6,0,0,0,6,1,0,0,0
1754,"2019-10",54846,74092,4,6,7,0,0,6,3,6,0,0
1755,"2019-10",4686,3570,6,6,0,0,0,2,4,0,0,0
1756,"2019-11",55282,207039,2,6,6,0,0,6,4,4,0,0
1757,"2019-11",282461,52797,6,6,0,0,0,2,1,0,0,0
1758,"2019-09",217512,55908,6,6,7,0,0,7,4,6,0,0
1759,"2019-07",1517181,3608,2,6,6,0,0,6,3,4,0,0
1760,"2019-10",3687,3701,6,6,0,0,0,3,4,0,0,0
1761,"2019-09",10344,11640,6,6,0,0,0,2,4,0,0,0
1764,"2019-08",3482,3723,7,6,0,0,0,5,3,0,0,0
1765,"2019-03",11666,844356,7,6,0,0,0,6,1,0,0,0
1766,"2019-01",10306,1784530,6,7,0,0,0,1,5,0,0,0
1767,"2019-10",5164,65230,6,6,0,0,0,4,3,0,0,0
1769,"2019-08",4508,3699,7,6,0,0,0,5,2,0,0,0
1770,"2019-07",2204585,253016,7,3,6,0,0,6,6,1,0,0
1773,"2019-06",286985,4053,6,6,6,0,0,1,7,0,0,0
1774,"2019-07",3724,141946,6,6,0,0,0,4,2,0,0,0
1775,"2019-09",28145,10885,7,6,0,0,0,5,2,0,0,0
1776,"2019-12",379580,217710,6,6,0,0,0,2,4,0,0,0
1777,"2019-02",3878,52337,7,6,0,0,0,6,4,0,0,0
1778,"2019-03",51304,10286,6,6,0,0,0,4,1,0,0,0
1779,"2019-11",1740216,4464,7,6,0,0,0,6,4,0,0,0
1781,"2019-03",1398936,41668,6,4,7,0,0,2,6,5,0,0
1783,"2019-09",11767,27373,6,7,0,0,0,2,5,0,0,0
1784,"2019-10",53255,3564,6,6,0,0,0,4,3,0,0,0
1785,"2019-09",268261,10789,6,6,0,0,0,2,2,0,0,0
1788,"2019-10",10340,42790,3,6,6,0,0,6,2,2,0,0
1789,"2019-01",3712,207438,1,6,6,6,0,6,4,3,4,0
1791,"2019-07",94598,1726478,6,6,0,0,0,2,1,0,0,0
1793,"2019-09",27373,141923,7,6,0,0,0,5,4,0,0,0
1794,"2019-10",4151,235621,6,5,7,0,0,4,7,6,0,0
1795,"2019-11",54883,3746,6,6,0,0,0,3,4,0,0,0
1797,"2019-01",224678,3695,4,6,6,7,0,6,4,4,5,0
1798,"2019-09",10286,24836,7,6,0,0,0,6,4,0,0,0
1800,"2019-08",235621,2516689,6,7,6,0,0,3,6,0,0,0
1801,"2019-10",3685,3570,6,6,0,0,0,1,1,0,0,0
1803,"2019-07",4464,4633,6,6,0,0,0,4,4,0,0,0
1806,"2019-05",4707,2536184,6,7,0,0,0,4,6,0,0,0
1807,"2019-07",3699,51362,6,7,0,0,0,1,5,0,0,0
1809,"2019-08",3839,1978582,6,5,6,0,0,2,7,0,0,0
1813,"2019-02",3462,3460,6,6,0,0,0,3,4,0,0,0
1814,"2019-01",10250,10760,3,6,6,0,0,6,3,4,0,0
1815,"2019-03",11775,2595933,7,5,6,0,0,5,7,2,0,0
1816,"2019-08",28145,24753,7,6,0,0,0,5,0,0,0,0
1817,"2019-03",4445,2596786,7,7,0,0,0,6,6,0,0,0
1818,"2019-02",10346,74588,6,6,0,0,0,3,3,0,0,0
1819,"2019-08",4372,3468,6,6,0,0,0,3,4,0,0,0
1820,"2019-09",4487,51322,7,7,0,0,0,5,6,0,0,0
1821,"2019-03",3828,4169,6,3,7,0,0,4,6,6,0,0
1823,"2019-08",157972,173356,6,6,0,0,0,0,1,0,0,0
1825,"2019-12",379580,207050,6,6,0,0,0,3,3,0,0,0
1826,"2019-01",4193,2095984,5,1,6,6,6,7,6,2,3,2
1827,"2019-02",52346,28399,6,4,6,0,0,1,6,2,0,0
1828,"2019-02",46561,197507,7,2,7,0,0,6,6,6,0,0
1829,"2019-02",3659,52886,5,7,6,0,0,7,5,3,0,0
1830,"2019-10",5218,2044152,6,6,0,0,0,2,2,0,0,0
1831,"2019-10",51289,3960,7,6,0,0,0,5,1,0,0,0
1832,"2019-02",1398935,3607,6,6,0,0,0,1,2,0,0,0
1835,"2019-03",206806,3927,6,6,0,0,0,4,2,0,0,0
1837,"2019-09",53391,167938,7,2,6,0,0,6,6,1,0,0
1840,"2019-10",1710702,59382,6,6,0,0,0,3,4,0,0,0
1843,"2019-07",2596786,27182,7,6,0,0,0,6,4,0,0,0
1844,"2019-09",200425,3894,7,6,0,0,0,5,2,0,0,0
1846,"2019-08",2065915,4221,4,6,6,0,0,6,3,2,0,0
1848,"2019-01",54351,204410,6,6,6,0,0,3,3,3,0,0
1851,"2019-07",53449,4125,6,6,0,0,0,3,2,0,0,0
1855,"2019-08",203816,240231,7,4,6,0,0,6,6,1,0,0
1856,"2019-09",2555950,391097,6,6,0,0,0,3,3,0,0,0
1857,"2019-02",10769,10590,7,6,0,0,0,6,4,0,0,0
1859,"2019-09",218163,3503,6,6,0,0,0,3,2,0,0,0
1860,"2019-12",262476,1711967,6,7,0,0,0,4,5,0,0,0
1861,"2019-07",1399808,303997,6,3,7,0,0,4,6,6,0,0
1863,"2019-08",59419,4756,6,5,6,0,0,2,7,0,0,0
1864,"2019-03",51297,55282,6,6,0,0,0,3,2,0,0,0
1865,"2019-08",1554636,57216,3,6,6,0,0,6,2,2,0,0
1867,"2019-10",1740216,206329,6,6,0,0,0,2,3,0,0,0
1868,"2019-10",191910,1739159,6,6,0,0,0,3,2,0,0,0
1869,"2019-09",10785,51673,2,6,6,0,0,6,4,2,0,0
1870,"2019-03",2516689,203816,3,6,6,0,0,6,3,4,0,0
1872,"2019-03",4515,2611704,6,7,0,0,0,4,5,0,0,0
1873,"2019-03",3761,1399808,6,7,0,0,0,3,5,0,0,0
1875,"2019-02",28145,10789,6,6,0,0,0,0,3,0,0,0
1876,"2019-08",3671,4487,7,6,0,0,0,6,2,0,0,0
1877,"2019-08",87175,1394174,6,6,0,0,0,2,4,0,0,0
1878,"2019-10",4802,206794,6,6,0,0,0,3,2,0,0,0
1879,"2019-09",1948598,33380,6,6,0,0,0,3,2,0,0,0
1880,"2019-10",11134,10765,4,6,7,0,0,6,3,5,0,0
1881,"2019-09",11466,10352,6,3,6,0,0,3,6,1,0,0
1882,"2019-02",28145,10319,6,7,0,0,0,3,5,0,0,0
1884,"2019-03",10769,11666,6,6,0,0,0,3,3,0,0,0
1885,"2019-05",56823,3699,3,7,6,0,0,6,5,3,0,0
1887,"2019-01",398304,11666,6,6,6,0,0,7,1,3,0,0
1888,"2019-02",10885,268261,6,6,0,0,0,2,0,0,0,0
1889,"2019-09",53840,51296,7,7,6,0,0,6,6,3,0,0
1893,"2019-02",10281,84513,6,6,0,0,0,2,2,0,0,0
1895,"2019-07",1940917,3608,6,6,0,0,0,2,2,0,0,0
1896,"2019-08",58977,4299,6,6,0,0,0,3,2,0,0,0
1897,"2019-08",1940917,2516689,7,7,0,0,0,6,6,0,0,0
1898,"2019-10",268261,28504,6,6,0,0,0,3,3,0,0,0
1899,"2019-09",95506,1978582,4,6,6,0,0,6,1,4,0,0
1900,"2019-09",55908,3469,5,7,7,0,0,7,6,6,0,0
1901,"2019-10",606930,3464,6,3,6,0,0,2,6,3,0,0
1902,"2019-10",10286,10378,7,6,7,0,0,5,7,6,0,0
1904,"2019-10",191910,153464,6,6,0,0,0,2,0,0,0,0
1905,"2019-05",49924,3558,7,6,0,0,0,5,3,0,0,0
1906,"2019-09",58272,10378,6,6,0,0,0,1,1,0,0,0
1907,"2019-10",4515,235621,3,6,6,0,0,6,4,3,0,0
1909,"2019-09",53391,2092183,6,6,0,0,0,2,4,0,0,0
1910,"2019-06",1863628,206329,6,5,6,0,0,3,7,0,0,0
1911,"2019-07",2044152,1860951,6,3,6,0,0,2,6,2,0,0
1912,"2019-07",56735,373773,7,7,0,0,0,6,6,0,0,0
1913,"2019-10",95161,167878,6,3,6,0,0,4,6,3,0,0
1914,"2019-09",11366,981589,6,2,6,0,0,4,6,4,0,0
1915,"2019-11",2616345,1988251,6,6,0,0,0,3,3,0,0,0
1916,"2019-10",49953,204410,6,6,0,0,0,1,2,0,0,0
1918,"2019-02",3700,3701,7,6,0,0,0,6,4,0,0,0
1919,"2019-07",1945659,4122,6,3,6,0,0,3,6,0,0,0
1921,"2019-10",218163,3884,6,6,0,0,0,1,4,0,0,0
1922,"2019-08",2611772,28836,6,6,0,0,0,3,4,0,0,0
1924,"2019-08",1736726,51673,7,6,0,0,0,6,3,0,0,0
1927,"2019-09",2566922,4802,6,6,0,0,0,4,1,0,0,0
1929,"2019-09",70649,836822,6,2,6,0,0,0,6,2,0,0
